subject_external_db	subject_external_id	subject_name	relation	object	pub
catmaid_l1em	15716094	MN-L-Sens-B2-ACp-05	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	12260696	MN-L-Sens-B2-ACp-06	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	11745381	MN-L-Sens-B2-ACp-07	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15938337	MN-L-Sens-B2-ACp-08	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15690093	MN-L-Sens-B2-ACp-09	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15679577	MN-L-Sens-B2-ACp-10	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15674262	MN-L-Sens-B2-ACp-11 (Olfactory Gustatory connector 2)	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15689373	MN-L-Sens-B2-ACp-12	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15716127	MN-L-Sens-B2-ACp-13	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15686512	MN-L-Sens-B2-ACp-14	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	11736972	MN-L-Sens-B2-ACp-15	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
